context,truth,prediction,exact_match,bleu,levenshtein,meteor,rouge1_p,rouge1_r,rouge1_f,rouge2_p,rouge2_r,rouge2_f,rougeL_p,rougeL_r,rougeL_f
"<fim_prefix>/**<fim_suffix>
package it.makeit.alfresco.webscriptsapi.model;<fim_middle>","
 * Questo package contiene il modello dei dati usato nella Web Scripts API esposta da Alfresco 5.1.
 * <p>
 * Questo modello Ã¨ stato costruito a partire dalla descrizione dei singoli web script
 * direttamente esposta dal repository al percorso {@code alfresco/s/index}.
 * </p>
 * <p>
 * Sebbene realizzato basandosi su Alfresco 5.1, l'API <i>dovrebbe</i> essere compatibile fino ad
 * (almeno) Alfresco 4.2
 * </p>
 * 
 * @author Alessio Gaeta &lt;alessio.gaeta@make-it.it&gt;
 *
 */","
 * 
 */",0.010810810810810811,1.576375571131863e-20,0.9900793650793651,0.011983223487118035,1.0,0.034482758620689655,0.06666666602222222,1.0,0.014084507042253521,0.02777777750385803,1.0,0.034482758620689655,0.06666666602222222
"<fim_prefix>package com.jerryoops.eurika.common.spring.annotation;

import com.jerryoops.eurika.common.constant.RegistryConstant;

import java.lang.annotation.Documented;
import java.lang.annotation.ElementType;
import java.lang.annotation.Inherited;
import java.lang.annotation.Retention;
import java.lang.annotation.RetentionPolicy;
import java.lang.annotation.Target;

/**<fim_suffix>
@Documented
@Target({ElementType.TYPE})
@Retention(RetentionPolicy.RUNTIME)
@Inherited
public @interface EurikaService {
    /**
     * 用于标识本实现类从属的组名。
     * <p>不显式指定时，默认为""DEFAULT_GROUP""。</p>
     */
    String group() default RegistryConstant.DEFAULT_GROUP_NAME;

    /**
     * 用于标识本实现类的版本。
     * <p>不显式指定时，默认为""1.0.0""。</p>
     */
    String version() default RegistryConstant.DEFAULT_VERSION;
}
<fim_middle>","
 * 在provider端使用，标注在某接口的实现类之上。
 * 将会把此实现类作为bean注册到Spring IOC容器中，并将此类实现的接口暴露在服务注册中心中，供消费者调用。
 */","
 * 标识本类为服务提供者。
 *
 * @author JerryOops
 * @since 2019/12/12
 */",0.03389830508474576,0.04886268190440477,0.9694323144104804,0.14560632688927944,0.2857142857142857,0.4,0.33333332847222225,0.0,0.0,0.0,0.2857142857142857,0.4,0.33333332847222225
"<fim_prefix>package com.jerryoops.eurika.common.spring.annotation;

import com.jerryoops.eurika.common.constant.RegistryConstant;

import java.lang.annotation.Documented;
import java.lang.annotation.ElementType;
import java.lang.annotation.Inherited;
import java.lang.annotation.Retention;
import java.lang.annotation.RetentionPolicy;
import java.lang.annotation.Target;

/**
 * 在provider端使用，标注在某接口的实现类之上。
 * 将会把此实现类作为bean注册到Spring IOC容器中，并将此类实现的接口暴露在服务注册中心中，供消费者调用。
 */
@Documented
@Target({ElementType.TYPE})
@Retention(RetentionPolicy.RUNTIME)
@Inherited
public @interface EurikaService {
    /**
     * 用于标识本实现类从属的组名。
     * <p>不显式指定时，默认为""DEFAULT_GROUP""。</p>
     */
    String group() default RegistryConstant.DEFAULT_GROUP_NAME;

    /**<fim_suffix>
    String version() default RegistryConstant.DEFAULT_VERSION;
}
<fim_middle>","
     * 用于标识本实现类的版本。
     * <p>不显式指定时，默认为""1.0.0""。</p>
     */","
     * 用于标识本实现类从属的版本号。
     * <p>不显式指定时，默认为""DEFAULT_VERSION""。</p>",0.20588235294117646,0.6388363022192665,0.782312925170068,0.7572441698572921,0.3333333333333333,0.16666666666666666,0.22222221777777784,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.22222221777777784
"<fim_prefix>package com.jerryoops.eurika.common.spring.annotation;

import com.jerryoops.eurika.common.constant.RegistryConstant;

import java.lang.annotation.Documented;
import java.lang.annotation.ElementType;
import java.lang.annotation.Inherited;
import java.lang.annotation.Retention;
import java.lang.annotation.RetentionPolicy;
import java.lang.annotation.Target;

/**
 * 在provider端使用，标注在某接口的实现类之上。
 * 将会把此实现类作为bean注册到Spring IOC容器中，并将此类实现的接口暴露在服务注册中心中，供消费者调用。
 */
@Documented
@Target({ElementType.TYPE})
@Retention(RetentionPolicy.RUNTIME)
@Inherited
public @interface EurikaService {
    /**<fim_suffix>
    String group() default RegistryConstant.DEFAULT_GROUP_NAME;

    /**
     * 用于标识本实现类的版本。
     * <p>不显式指定时，默认为""1.0.0""。</p>
     */
    String version() default RegistryConstant.DEFAULT_VERSION;
}
<fim_middle>","
     * 用于标识本实现类从属的组名。
     * <p>不显式指定时，默认为""DEFAULT_GROUP""。</p>
     */","
     * 用于标识本实现类的名称。
     * <p>不显式指定时，默认为接口的全限定名。</p>
     */",0.19444444444444445,0.6071226350940288,0.7697368421052632,0.7539010117078381,0.5,0.5,0.4999999950000001,0.0,0.0,0.0,0.5,0.5,0.4999999950000001
"<fim_prefix>package org.openyu.commons.web.struts2;

import org.springframework.context.ApplicationContextAware;

import org.openyu.commons.web.servlet.BaseWeb;

/**<fim_suffix>
public interface BaseAction extends ApplicationContextAware, BaseWeb
{
	String KEY = BaseAction.class.getName();

}
<fim_middle>","
 * 控制器
 */","
 * @author ",0.3333333333333333,0.30789214024300116,0.7777777777777778,0.25423728813559315,0.5,0.3333333333333333,0.39999999520000007,0.0,0.0,0.0,0.5,0.3333333333333333,0.39999999520000007
"<fim_prefix>/**<fim_suffix>
package cn.edu.bit.ruixin.community;
<fim_middle>","
 * <p>
 * 预约管理系统的后台
 * </p><p>
 * 该系统的主要任务是，存储预约的基本信息和执行状态，根据一定的规则更新预约状态。
 * </p><p>
 * 该后台的程序执行由HTTP请求触发。spring框架接收到请求以后，首先根据
 * 安全配置规则，运行请求<strong>过滤器</strong>，检验用户身份。
 * 然后根据请求的请求方法和请求地址，调用<strong>控制器</strong>中的处理函数
 * 来处理请求。处理函数被调用后，会根据函数签名的注解，读取请求的内容
 * 并将其转换为Java对象，然后调用<strong>服务对象</strong>的方法来处理请求。
 * 服务对象当中有访问数据库的<strong>存储库</strong>对象，服务会根据业务需求，
 * 读取或修改数据库的内容，然后返回操作的结果。控制器函数接收到服务的返回值以后，
 * 会调整返回值的结构，然后将写入HTTP响应的对象返回到框架，由框架将其
 * 转换为JSON字符串并写入响应。
 * 如果由于业务逻辑限制或者Bug，请求无法返回给定的响应，那么上述处理流程会抛出异常，
 * 异常处理函数将错误信息发送到前端。
 * 如果在业务逻辑中涉及到了<strong>数据库字段对象</strong>，就可以
 * 将字段对象转换为<strong>视图层对象</strong>。
 * </p>
 * 
 */","
 * 社区模块
 */",0.0057306590257879654,1.0002779755196833e-19,0.9964539007092199,0.007939028262940618,0.6666666666666666,0.1,0.1739130412098299,0.0,0.0,0.0,0.6666666666666666,0.1,0.1739130412098299
"<fim_prefix>package net.cocotea.elysiananime.common.enums;

import lombok.AllArgsConstructor;
import lombok.Getter;

/**<fim_suffix>
@Getter
@AllArgsConstructor
public enum SexEnum {
    /**
     * 未知
     */
    UNKNOWN(0, ""未知""),
    /**
     * 男
     */
    MAN(1, ""男""),
    /**
     * 女
     */
    WOMAN(2, ""女"");

    final Integer code;
    final String desc;
}
<fim_middle>","
 * 性别枚举值
 *
 * @author CoCoTea
 * @version 2.0.0
 */","
 * 性别枚举
 *
 * @author cocotea
 * @date 2020/12/29",0.23333333333333334,0.43596472119907387,0.7397260273972602,0.5946666666666667,0.3333333333333333,0.25,0.2857142808163266,0.25,0.18181818181818182,0.21052631091412755,0.3333333333333333,0.25,0.2857142808163266
"<fim_prefix>package net.cocotea.elysiananime.common.enums;

import lombok.AllArgsConstructor;
import lombok.Getter;

/**
 * 性别枚举值
 *
 * @author CoCoTea
 * @version 2.0.0
 */
@Getter
@AllArgsConstructor
public enum SexEnum {
    /**
     * 未知
     */
    UNKNOWN(0, ""未知""),
    /**<fim_suffix>
    MAN(1, ""男""),
    /**
     * 女
     */
    WOMAN(2, ""女"");

    final Integer code;
    final String desc;
}
<fim_middle>","
     * 男
     */","
     * 男
     */",1.0,1.0,0.0,0.9976851851851852,1.0,1.0,0.999999995,1.0,1.0,0.999999995,1.0,1.0,0.999999995
"<fim_prefix>package net.cocotea.elysiananime.common.enums;

import lombok.AllArgsConstructor;
import lombok.Getter;

/**
 * 性别枚举值
 *
 * @author CoCoTea
 * @version 2.0.0
 */
@Getter
@AllArgsConstructor
public enum SexEnum {
    /**
     * 未知
     */
    UNKNOWN(0, ""未知""),
    /**
     * 男
     */
    MAN(1, ""男""),
    /**<fim_suffix>
    WOMAN(2, ""女"");

    final Integer code;
    final String desc;
}
<fim_middle>","
     * 女
     */","
     * 女
     */",1.0,1.0,0.0,0.9976851851851852,1.0,1.0,0.999999995,1.0,1.0,0.999999995,1.0,1.0,0.999999995
"<fim_prefix>package net.cocotea.elysiananime.common.enums;

import lombok.AllArgsConstructor;
import lombok.Getter;

/**
 * 性别枚举值
 *
 * @author CoCoTea
 * @version 2.0.0
 */
@Getter
@AllArgsConstructor
public enum SexEnum {
    /**<fim_suffix>
    UNKNOWN(0, ""未知""),
    /**
     * 男
     */
    MAN(1, ""男""),
    /**
     * 女
     */
    WOMAN(2, ""女"");

    final Integer code;
    final String desc;
}
<fim_middle>","
     * 未知
     */","
     * 未知
     */",1.0,1.0,0.0,0.9985422740524781,1.0,1.0,0.999999995,1.0,1.0,0.999999995,1.0,1.0,0.999999995
