prefix,truth,prediction,exact_match,bleu,levenshtein,meteor,rouge1_p,rouge1_r,rouge1_f,rouge2_p,rouge2_r,rouge2_f,rougeL_p,rougeL_r,rougeL_f
"package com.cms.common.core.builder;

/**
 * 配置模型回调接口
 * @author DT辰白
 * @date 2022/4/17 14:43
 */
","@FunctionalInterface
",public class ConfigConfig {,0.0,0.015565504122760001,0.9849624060150376,0.049504950495049514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"package com.redhat.lightblue.client.request.metadata;

import com.fasterxml.jackson.databind.JsonNode;
import com.redhat.lightblue.client.http.HttpMethod;
import com.redhat.lightblue.client.request.LightblueMetadataRequest;

/**
 * GET /metadata
 */
","public class MetadataGetEntityNamesRequest extends LightblueMetadataRequest {
","@RequestMapping(""/metadata"")",0.0,0.02691157071386012,0.9475524475524476,0.11961722488038277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"package com.github.maxwell.nc.reactivelib.callback;

/**
 * 功能接口
 */
","public interface Action {
",public function get_callback($callback) {,0.0,0.030084622192992443,0.9775280898876404,0.06329113924050633,0.5,0.5,0.4999999950000001,0.0,0.0,0.0,0.5,0.5,0.4999999950000001
"package com.github.maxwell.nc.reactivelib.callback;

/**
 * 功能接口
 */
public interface Action {

    /**
     * 操作的逻辑
     */
","    void run();
",},0.0,0.018101596262208156,0.9863945578231292,0.04950495049504951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"package com.linkwechat.wecom.strategy;

import com.linkwechat.wecom.domain.WeMessagePush;

public interface Strategy {

    /**
     * 推送消息
     *
     * @param weMessagePush 消息发送的
     */
","    public void sendMessage(WeMessagePush weMessagePush);
",public static void sendMessage(WeMessagePush message) {,0.013888888888888888,0.04493057529453585,0.9742489270386266,0.3396206967635539,0.5,0.75,0.5999999952,0.2,0.3333333333333333,0.24999999531250006,0.5,0.75,0.5999999952
"package com.j2eefast.system.validator.group;

/**
 * bcs服务器
 */
","public interface BcsapiGroup {
",public class bcs,0.0,0.03577684676407538,0.9761904761904762,0.2977594339622641,0.3333333333333333,0.25,0.2857142808163266,0.0,0.0,0.0,0.3333333333333333,0.25,0.2857142808163266
"package ru.ancientempires.serializable;

import java.lang.annotation.Retention;
import java.lang.annotation.RetentionPolicy;

// У этой аннотации две функции
","@Retention(RetentionPolicy.RUNTIME)
",// 1. Передавать функцию,0.03076923076923077,0.042580445168348545,0.9739583333333334,0.3668750737289136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"/**
 * 包含一些平台通用的条件实现. 这个包里的类需要在 {@link LineConfigParser} 注册.
 * @author colors_wind
 * @date 2020/1/24
 */
","package com.blzeecraft.virtualmenu.core.condition.extension;
",import lineconfigparser,0.0,0.016607524304526253,1.0,0.06198347107438016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"package br.univali.portugol.nucleo.asa;

/**
 * Utilizado em declarações de funções para quantificar os parâmetros e o retorno 
 * da função.
 * 
 * @author Luiz Fernando Noschang
 * @version 1.0
 */
","public enum Quantificador
",public class Parâmetro {,0.0,0.014459182353628556,0.9911504424778761,0.18653690186536903,0.25,0.3333333333333333,0.2857142808163266,0.0,0.0,0.0,0.25,0.3333333333333333,0.2857142808163266
"package br.univali.portugol.nucleo.asa;

/**
 * Utilizado em declarações de funções para quantificar os parâmetros e o retorno 
 * da função.
 * 
 * @author Luiz Fernando Noschang
 * @version 1.0
 */
public enum Quantificador
{
    /**
     * Esta enumeração define que o valor retornado na função ou recebido por parâmetro
     * será um único valor.
     * <p>
     * Exemplo:
     * <code><pre>
     * 
     *      funcao inteiro exemploQuantificador()
     *      {
     *           escreva(""O quantificador desta função é: VALOR"")
     *      }
     * 
     * </pre></code>
     * 
     * @since 1.0
     */
","    VALOR, 
",public enum QuantificadorInteiro,0.0,0.008450501355560865,0.9984848484848485,0.1147727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
