prefix,truth,prediction
"package com.cms.common.core.builder;

/**
 * 配置模型回调接口
 * @author DT辰白
 * @date 2022/4/17 14:43
 */
","@FunctionalInterface
",public interface ConfigModelCallback<T> {
"package com.redhat.lightblue.client.request.metadata;

import com.fasterxml.jackson.databind.JsonNode;
import com.redhat.lightblue.client.http.HttpMethod;
import com.redhat.lightblue.client.request.LightblueMetadataRequest;

/**
 * GET /metadata
 */
","public class MetadataGetEntityNamesRequest extends LightblueMetadataRequest {
",public class GetMetadataRequest extends LightblueMetadataRequest {
"package com.github.maxwell.nc.reactivelib.callback;

/**
 * 功能接口
 */
","public interface Action {
",public interface ICallback {
"package com.github.maxwell.nc.reactivelib.callback;

/**
 * 功能接口
 */
public interface Action {

    /**
     * 操作的逻辑
     */
","    void run();
",void action();
"package com.linkwechat.wecom.strategy;

import com.linkwechat.wecom.domain.WeMessagePush;

public interface Strategy {

    /**
     * 推送消息
     *
     * @param weMessagePush 消息发送的
     */
","    public void sendMessage(WeMessagePush weMessagePush);
",void push(WeMessagePush weMessagePush);
"package com.j2eefast.system.validator.group;

/**
 * bcs服务器
 */
","public interface BcsapiGroup {
",public interface BcsGroup {
"package ru.ancientempires.serializable;

import java.lang.annotation.Retention;
import java.lang.annotation.RetentionPolicy;

// У этой аннотации две функции
","@Retention(RetentionPolicy.RUNTIME)
","// 1. Позволяют задать имя класса, который будет использоваться для сериализации"
"/**
 * 包含一些平台通用的条件实现. 这个包里的类需要在 {@link LineConfigParser} 注册.
 * @author colors_wind
 * @date 2020/1/24
 */
","package com.blzeecraft.virtualmenu.core.condition.extension;
",package org.muses.jeeplatform.common.condition;
"package br.univali.portugol.nucleo.asa;

/**
 * Utilizado em declarações de funções para quantificar os parâmetros e o retorno 
 * da função.
 * 
 * @author Luiz Fernando Noschang
 * @version 1.0
 */
","public enum Quantificador
",public class Quantificador {
"package br.univali.portugol.nucleo.asa;

/**
 * Utilizado em declarações de funções para quantificar os parâmetros e o retorno 
 * da função.
 * 
 * @author Luiz Fernando Noschang
 * @version 1.0
 */
public enum Quantificador
{
    /**
     * Esta enumeração define que o valor retornado na função ou recebido por parâmetro
     * será um único valor.
     * <p>
     * Exemplo:
     * <code><pre>
     * 
     *      funcao inteiro exemploQuantificador()
     *      {
     *           escreva(""O quantificador desta função é: VALOR"")
     *      }
     * 
     * </pre></code>
     * 
     * @since 1.0
     */
    VALOR, 
    
    /**
     * Esta enumeração define que o valor retornado na função ou recebido por parãmetro
     * será um vetor. Este quantificador é definido pelo operador '[]'.
     * <p>
     * Exemplo:
     * <code><pre>
     * 
     *      funcao inteiro[] exemploQuantificador(inteiro param1[])
     *      {
     *           escreva(""O quantificador da função é VETOR."")
     *           escreva(""O quantificador do parâmetro 'param1' também é VETOR."")
     *      }
     * 
     * </pre></code>
     * 
     * @since 1.0
     */
    VETOR, 
    
    /**
     * Esta enumeração define que o valor retornado na função ou recebido por parâmetro
     * será uma matriz. Este quantificador é definido pelo operador '[][]'.
     * <p>
     * Exemplo:
     * <code><pre>
     * 
     *      funcao inteiro[][] exemploQuantificador(inteiro param1[][])
     *      {
     *           escreva(""O quantificador da função é MATRIZ."")
     *           escreva(""O quantificador do parâmetro 'param1' também é MATRIZ."")
     *      }
     * 
     * </pre></code>
     * 
     * @since 1.0
     */
","    MATRIZ
","MATRIZ,"
